"","name","start_time","end_time","activity_time","finished","replication","waiting_time","total_time"
"1","Airplane0",0,7.89,7.89,TRUE,1,0,7.89
"2","Airplane1",17,26.04,9.04,TRUE,1,0,9.04
"3","Airplane2",37,40.31,3.31,TRUE,1,0,3.31
"4","Airplane3",56,68.85,12.85,TRUE,1,0,12.85
"5","Airplane5",91,94.12,3.12,TRUE,1,0,3.12
"6","Airplane4",77,101.5,24.5,TRUE,1,0,24.5
"7","Airplane7",122,130.11,8.11,TRUE,1,0,8.11
"8","Airplane6",105,138.47,33.47,TRUE,1,0,33.47
"9","Airplane8",147,166.68,19.68,TRUE,1,0,19.68
"10","Airplane9",165,183.36,18.36,TRUE,1,0,18.36
"11","Airplane11",206,216.88,10.88,TRUE,1,0,10.88
"12","Airplane12",223,224.66,1.66,TRUE,1,0,1.66
"13","Airplane10",188,225.19,37.19,TRUE,1,0,37.19
"14","Airplane14",264,265.13,1.13,TRUE,1,0,1.13
"15","Airplane13",240,270.36,30.36,TRUE,1,0,30.36
"16","Airplane15",281,295.88,14.88,TRUE,1,0,14.88
"17","Airplane16",300,376.38,76.38,TRUE,1,0,76.38
"18","Airplane17",326,380.71,54.71,TRUE,1,0,54.71
"19","Airplane19",350,395.28,14.57,TRUE,1,30.71,45.28
"20","Airplane18",338,396.52,20.14,TRUE,1,38.38,58.52
"21","Airplane21",406,409.83,3.83,TRUE,1,0,3.83
"22","Airplane22",418,440.39,22.39,TRUE,1,0,22.39
"23","Airplane23",436,454.5,14.11,TRUE,1,4.39,18.5
"24","Airplane24",457,465.48,8.48,TRUE,1,0,8.48
"25","Airplane20",373,474.16,78.88,TRUE,1,22.28,101.16
"26","Airplane26",497,512.59,15.59,TRUE,1,0,15.59
"27","Airplane25",480,517.69,37.69,TRUE,1,0,37.69
"28","Airplane27",518,520.58,2.58,TRUE,1,0,2.58
"29","Airplane28",535,545.46,10.46,TRUE,1,0,10.46
"30","Airplane29",551,561.29,10.29,TRUE,1,0,10.29
"31","Airplane31",588,593.43,5.43,TRUE,1,0,5.43
"32","Airplane30",571,597.52,26.52,TRUE,1,0,26.52
"33","Airplane32",606,615.94,9.94,TRUE,1,0,9.94
"34","Airplane33",632,632.06,0.06,TRUE,1,0,0.06
"35","Airplane34",658,673.25,15.25,TRUE,1,0,15.25
"36","Airplane35",672,679.36,7.36,TRUE,1,0,7.36
"37","Airplane36",693,704.91,11.91,TRUE,1,0,11.91
"38","Airplane37",716,722.73,6.73,TRUE,1,0,6.73
"39","Airplane38",734,751.97,17.97,TRUE,1,0,17.97
"40","Airplane39",757,805.58,48.58,TRUE,1,0,48.58
"41","Airplane40",784,811.52,27.52,TRUE,1,0,27.52
